number, supplement, name
1902,0,Evionnaz
1902,0,Evionnaz
1903,0,Collonges
1904,0,Vernayaz
1904,0,Vernayaz
1905,0,Dorénaz
1906,0,Charrat
1906,0,Charrat
1907,0,Saxon
1908,0,Riddes
1911,0,Ovronnaz
1911,2,Mayens-de-Chamoson
1912,0,Leytron
1912,2,Produit (Leytron)
1912,3,Montagnon (Leytron
1912,4,Dugny (Leytron)
1913,0,Saillon
1914,0,Isérables
1914,2,Auddes-sur-Riddes
1918,0,La Tzoumaz
1920,0,Martigny
1920,0,Martigny
1921,0,Martigny-Croix
1922,0,Salvan
1922,1,Granges (Salvan)
1923,0,Les Marécottes
1923,2,Le Trétien
1925,0,Finhaut
1925,1,Le Châtelard VS
1926,0,Fully
1927,0,Chemin
1927,0,Chemin
1927,0,Chemin
1928,0,Ravoire
1929,0,Trient
1932,0,Bovernier
1932,0,Bovernier
1932,2,Les Valettes
1933,0,Sembrancher
1933,0,Sembrancher
1933,2,Vens(Sembrancher)
1933,3,Chamoille
1933,4,La Garde
1934,0,Le Châble VS
1934,1,Bruson
1936,0,Verbier
1937,0,Orsières
1938,0,Champex-Lac
1941,0,Vollèges
1941,2,Cries (Vollèges)
1942,0,Levron
1943,0,Praz-de-Fort
1944,0,La Fouly VS
1945,0,Liddes
1945,2,Fontaine Dessus
1945,3,Fontaine Dessous
1945,4,Dranse (Liddes)
1945,5,Chandonne (Liddes)
1945,6,Rive Haute(Liddes)
1945,7,Fornex(Liddes)
1945,8,Les Moulins VS
1945,9,Vichères (Liddes)
1945,10,Palasuit (Liddes)
1945,11,Chez Petit(Liddes)
1945,12,Petit Vichères
1946,0,Bourg-St-Pierre
1947,0,Versegères
1947,5,Champsec
1948,0,Lourtier
1948,1,Fionnay
1948,2,Sarreyer
1950,0,Sion
1950,0,Sion
1950,0,Sion
1955,0,Chamoson
1955,2,Les Vérines
1955,3,Némiaz (Chamoson)
1955,4,Grugnay (Chamoson)
1955,5,St-Pierre-Clages
1957,0,Ardon
1958,0,St-Léonard
1958,0,St-Léonard
1958,2,Uvrier
1958,2,Uvrier
1961,0,Vernamiège
1962,0,Pont-de-la-Morge
1962,0,Pont-de-la-Morge
1963,0,Vétroz
1964,0,Conthey
1965,2,Roumaz (Savièse)
1965,3,Granois (Savièse)
1965,4,St-Germain
1965,5,Ormône (Savièse)
1965,5,Ormône (Savièse)
1965,6,Mayens-de-la-Zour
1965,7,Chandolin Savièse
1965,8,Drône (Savièse)
1965,9,Monteiller
1965,10,Diolly (Savièse)
1965,11,La Muraz (Savièse)
1966,2,Fortunau (Ayent)
1966,3,Luc (Ayent)
1966,4,St-Romain (Ayent)
1966,5,Saxonne (Ayent)
1966,6,Villa (Ayent)
1966,7,La Place (Ayent)
1966,8,Botyre (Ayent)
1966,9,Blignou (Ayent)
1966,10,Argnou (Ayent)
1966,11,Signèse (Ayent)
1967,0,Bramois
1968,0,Mase
1969,0,St-Martin VS
1969,2,Liez (St-Martin)
1969,3,Trogne (St-Martin)
1969,4,Suen (St-Martin)
1969,5,Eison (St-Martin)
1971,0,Grimisuat
1971,0,Grimisuat
1971,2,Champlan
1971,2,Champlan
1972,0,Anzère
1972,0,Anzère
1973,0,Nax
1974,0,Arbaz
1975,0,St-Séverin
1976,0,Erde
1976,1,Aven
1976,2,Daillon
1977,0,Icogne
1978,0,Lens
1978,0,Lens
1981,0,Vex
1982,0,Euseigne
1982,0,Euseigne
1983,0,Evolène
1983,2,Lanna
1984,0,Les Haudères
1984,1,La Tour VS
1985,0,La Sage
1985,1,La Forclaz VS
1985,2,Villa (Evolène)
1986,0,Arolla
1987,0,Hérémence
1988,1,Thyon
1988,2,Les Collons
1991,0,Salins
1991,0,Salins
1991,2,Arvillard (Salins)
1991,3,Pravidondaz
1991,4,Turin (Salins)
1991,5,Misériez (Salins)
1992,0,Les Agettes
